Province,Region,2550,2552,2554,2556,2558
     Bangkok ,Bangkok and suburb cities,39020,42380,48951,49191,45572
     Samut Prakan ,Bangkok and suburb cities,21302,23359,23798,29575,25457
     Nonthaburi ,Bangkok and suburb cities,32743,34626,35120,30664,36884
     Pathum Thani ,Bangkok and suburb cities,26107,26686,21616,33461,41057
     Phra Nakhon Si Ayutthaya ,Central,21676,25820,22302,26482,28379
     Ang Thong ,Central,17704,25506,21140,28641,23351
     Lop Buri ,Central,16852,22405,17178,23426,22955
     Sing Buri ,Central,20558,25419,26068,28115,26112
     Chai Nat ,Central,13995,18719,20181,32754,22059
     Saraburi ,Central,22363,21947,27114,32834,29413
     Chon Buri ,Central,22260,24052,23007,28367,27257
     Rayong ,Central,25090,22983,21929,30401,30315
     Chanthaburi ,Central,18866,19442,24278,27284,36024
     Trat ,Central,16664,16949,28118,21653,25333
     Chachoengsao ,Central,20665,21252,23031,34548,27555
     Prachin Buri ,Central,18263,22548,25338,21039,24166
     Nakhon Nayok ,Central,15983,17503,17042,23391,23555
     Sa Kaeo ,Central,13593,15525,17781,24805,26953
     Ratchaburi ,Central,17576,20994,18713,25742,19590
     Kanchanaburi ,Central,15326,17571,15210,18746,18884
     Suphan Buri ,Central,15112,15797,15928,17260,15786
     Nakhon Pathom ,Central,25447,24989,22955,30856,40347
     Samut Sakhon ,Central,18735,20978,20850,23658,29347
     Samut Songkhram ,Central,12634,18363,15068,16257,18310
     Phetchaburi ,Central,17855,17440,20026,21784,26431
     Prachuap Khiri Khan ,Central,17932,16934,17477,28459,23523
     Chiang Mai ,North,14386,16141,18323,14393,14950
     Lamphun ,North,14104,20048,18778,22505,23834
     Lampang ,North,13531,14020,18454,19262,20466
     Uttaradit ,North,15001,15865,17602,21344,19239
     Phrae ,North,14045,13034,18157,19418,21796
     Nan ,North,11407,14624,16249,17598,17886
     Phayao ,North,11348,13189,14457,15491,17673
     Chiang Rai ,North,13736,13278,15034,13510,13497
     Mae Hong Son ,North,7245,7936,9024,8821,15119
     Nakhon Sawan ,North,15141,17127,21561,24158,21952
     Uthai Thani ,North,12036,17425,18487,20150,20115
     Kamphaeng Phet ,North,15559,18115,18672,22083,20140
     Tak ,North,10791,12453,12936,17020,20079
     Sukhothai ,North,12720,15411,18098,24121,22252
     Phitsanulok ,North,13364,15779,17474,27490,19235
     Phichit ,North,15603,21821,18130,21664,22101
     Phetchabun ,North,12914,17096,15678,19918,21337
     Nakhon Ratchasima ,Northeast,14177,19158,19399,22479,26376
     Buri Ram ,Northeast,10263,13734,17316,15624,18480
     Surin ,Northeast,12257,11310,18287,21351,20315
     Si Sa Ket ,Northeast,10782,10666,13944,16207,18793
     Ubon Ratchathani ,Northeast,14534,16747,21660,22344,20453
     Yasothon ,Northeast,10040,11813,16767,14418,19518
     Chaiyaphum ,Northeast,11253,12380,15794,18641,23830
     Amnat Charoen ,Northeast,11889,14763,15975,17273,21173
     Bungkan ,Northeast,,,,20207,23767
     Nong Bua Lam Phu ,Northeast,11889,14012,17139,15390,22553
     Khon Kaen ,Northeast,15065,19779,16030,18095,21337
     Udon Thani ,Northeast,17273,16684,22017,25966,22817
     Loei ,Northeast,13765,13411,17958,16338,20990
     Nong Khai ,Northeast,12885,14467,16979,18058,21207
     Maha Sarakham ,Northeast,15812,19845,25461,21644,18540
     Roi Et ,Northeast,11779,14932,20167,20505,19990
     Kalasin ,Northeast,12507,11748,17293,13921,15452
     Sakon Nakhon ,Northeast,11957,16679,15326,16854,19281
     Nakhon Phanom ,Northeast,10009,12859,14053,14310,15804
     Mukdahan ,Northeast,13406,17370,19048,16494,22870
     Nakhon Si Thammarat ,South,18087,23296,29970,27479,25124
     Krabi ,South,18852,23647,33350,27276,31012
     Phangnga ,South,22211,22356,24470,26168,28842
     Phuket ,South,25084,28515,26048,31857,31500
     Surat Thani ,South,26207,30604,34417,36865,36466
     Ranong ,South,21620,19274,26049,32292,22035
     Chumphon ,South,19003,25179,28022,27540,29306
     Songkhla ,South,22342,27356,26711,26824,27660
     Satun ,South,17328,20695,21047,25400,23209
     Trang ,South,23650,21992,36245,33270,23309
     Phattalung ,South,18670,19381,25202,26169,21478
     Pattani ,South,11840,13511,16122,20199,17513
     Yala ,South,13698,19619,21859,22483,15584
     Narathiwat ,South,13148,11244,16834,16773,19890
